prod_name,prod_price,prod_link
"Lenovo Ideapad Slim 3 10th Gen Intel Core i3 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81WE00RCIN","₹32,990",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81WE00RCIN/dp/B08CQ9C48X/ref=sr_1_34?dchild=1&keywords=Laptop&qid=1620993501&sr=8-34
"(Renewed) Dell Latitude E3380 13.5-Inch Laptop (Core i5 7th Gen/4GB RAM (Upgradable to 16)/320GB HDD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel Integrated Graphics,Backlit Keyboard), Black","₹38,999",https://www.amazon.in/Dell-Latitude-13-5-Inch-Upgradable-Integrated/dp/B094151P8P/ref=sr_1_35?dchild=1&keywords=Laptop&qid=1620993501&sr=8-35
"(Renewed) Lenovo V15 Intel 8th Gen Core i3 8130U 15-Inch (38.1 cms) 1366 x 768 (HD Ready) Thin and Light Laptop (4 GB/1TB HDD/Windows 10 Home/Intel UHD Graphics 620/Gray/1.85 Kg), 81YD001MIH","₹27,500",https://www.amazon.in/Renewed-Lenovo-15-inch-Windows-81YD001MIH/dp/B08BLFJPB8/ref=sr_1_36?dchild=1&keywords=Laptop&qid=1620993501&sr=8-36
"Lenovo Legion 5 10th Gen Intel Core i5 15.6 inch (39.62 cms) Full HD IPS Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82AU00KEIN","₹70,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0834767XI2VH1IX7RAE&url=%2FLenovo-Windows-Graphics-Phantom-82AU00KEIN%2Fdp%2FB08JLR75BD%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-37-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_btf
"Lenovo ThinkPad E14 (2021) AMD Ryzen 5 4650U Pro 14-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.59 kg), 20T6S0UQ00","₹52,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08375803BIMN8254BTJG&url=%2FLenovo-ThinkPad-14-inch-Microsoft-20T6S0UQ00%2Fdp%2FB0922KX1MX%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-38-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_btf
"Lenovo Legion 5 AMD Ryzen 5 4600H 15.6 inch (39.62 cms) Full HD IPS Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82B500MMIN","₹66,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A08344873JCDQBFV4HSU6&url=%2FLenovo-Windows-Graphics-Phantom-82B500MMIN%2Fdp%2FB08JLR7LPQ%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993504%26sr%3D8-33-spons%26psc%3D1&qualifier=1620993504&id=8731063363288828&widgetName=sp_atf_next
"Acer Nitro 5 Intel Core i7-11th Generation 144 Hz Refresh Rate 15.6-inch (39.62 cms) Gaming Laptop (8GB Ram/1TB SSD/Win10/GTX 1650 Graphics/Obsidian Black/2.2 Kgs), AN515-56 + Xbox Game Pass for PC","₹84,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06105442MOQRK8P55FJ0&url=%2FAcer-Generation-15-6-inch-Graphics-AN515-56%2Fdp%2FB0923Z27TX%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993504%26sr%3D8-34-spons%26psc%3D1&qualifier=1620993504&id=8731063363288828&widgetName=sp_atf_next
"Dell Inspiron 3501 15.6"" FHD Display Laptop (i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / Integrated Graphics / Win 10 + MSO / Backlit KB / Soft Mint Color) D560412WIN9S","₹64,999",https://www.amazon.in/Dell-Inspiron-i5-1135G7-Integrated-D560412WIN9S/dp/B093T2SC3W/ref=sr_1_35?dchild=1&keywords=Laptop&qid=1620993504&sr=8-35
"Dell Inspiron 3505 15.6"" (39.62 cms) FHD AG Display Laptop ( Ryzen3 3250U / 8GB / 1TB / Integrated Graphics / Win 10 + MSO / Accent Black) D560406WIN9BE","₹34,190",https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560406WIN9BE/dp/B08MQ718SY/ref=sr_1_36?dchild=1&keywords=Laptop&qid=1620993504&sr=8-36
"(Renewed) Dell Latitude E3380 13.5-Inch Laptop (Core i5 7th Gen/16GB RAM/512GB SSD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel Integrated Graphics,Backlit Keyboard), Black","₹46,999",https://www.amazon.in/Dell-Latitude-13-5-Inch-Integrated-Graphics/dp/B09413TQWK/ref=sr_1_37?dchild=1&keywords=Laptop&qid=1620993504&sr=8-37
"Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop (14 inch, Silver, 1.8 kg)","₹28,790",https://www.amazon.in/Acer-One-Pentium-Dual-Core/dp/B08J491Z28/ref=sr_1_38?dchild=1&keywords=Laptop&qid=1620993504&sr=8-38
"HP 15 Ryzen 3 4300U Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB/Windows 10/MS Office/Natural Silver/1.69Kg), 15s-ey1003AU","₹37,990",https://www.amazon.in/HP-Processor-15-6-inch-Windows-15s-ey1003AU/dp/B092JKHHPZ/ref=sr_1_39?dchild=1&keywords=Laptop&qid=1620993504&sr=8-39
"HP 14(2021) 10th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch(35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)","₹40,990",https://www.amazon.in/HP-Laptop-14-Inch-Windows-dy2501tu/dp/B093VZC5X9/ref=sr_1_40?dchild=1&keywords=Laptop&qid=1620993504&sr=8-40
"(Renewed) Fujitsu Intel Core i5 3340M 15.6-Inch (39.62 cms) 1366 X 768 Laptop (4 GB/320 GB HDD/Windows/Intel HD Graphics/Black/2.40 Kg), A573","₹19,990",https://www.amazon.in/Renewed-Fujitsu-15-6-Inch-Windows-Graphics/dp/B091B6K2ZM/ref=sr_1_41?dchild=1&keywords=Laptop&qid=1620993504&sr=8-41
"(Renewed) Dell Latitude E3380 13.5-Inch Laptop (Core i5 7th Gen/8GB RAM(Upgradable to 16)/256GB SSD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel Integrated Graphics,Backlit Keyboard), Black","₹42,999",https://www.amazon.in/Dell-Latitude-13-5-Inch-Upgradable-Integrated/dp/B09415HRKT/ref=sr_1_42?dchild=1&keywords=Laptop&qid=1620993504&sr=8-42
"Acer Aspire 5 Intel Core i3 10th Generation 14""(35.56 cms) - (4 GB/512 GB SSD + 32 GB Optane/Windows 10 Home/Intel UHD Graphics /1.5Kg/Purple) A514-53","₹37,859",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A100046620R1BT9OFZFLF&url=%2FAcer-Aspire-A514-53-316M-Laptop-Windows%2Fdp%2FB08HQP9P3H%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993504%26sr%3D8-43-spons%26psc%3D1&qualifier=1620993504&id=8731063363288828&widgetName=sp_mtf
"Lenovo Legion 5 10th Gen Intel Core i5 15.6 inch (39.62 cms) Full HD IPS Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82AU00KGIN","₹74,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A083464328AB7KY520984&url=%2FLenovo-Windows-Graphics-Phantom-82AU00KGIN%2Fdp%2FB08JLQX4GZ%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993504%26sr%3D8-44-spons%26psc%3D1&qualifier=1620993504&id=8731063363288828&widgetName=sp_mtf
"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS","₹34,990",https://www.amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK312TS/dp/B08JMSHVJW/ref=sr_1_45?dchild=1&keywords=Laptop&qid=1620993504&sr=8-45
